             VARIABLE : Monthly Mean Air Temperature at sigma level 0.995 (degC)
             DATA SET : monthly mean air.sig995 from the NCEP Reanalysis
             FILENAME : air.sig995.mon.mean.nc
             FILEPATH : https://www.esrl.noaa.gov/psd/thredds/dodsC/Datasets/ncep.reanalysis.derived/surface/
             BAD FLAG : -1.E+34       
             SUBSET   : 342 points (TIME)
             LONGITUDE: 87.5E
             LATITUDE : 45N
         	87.5E
01-NOV-2012 00:00	-5.379998
01-DEC-2012 00:00	-10.72935
01-JAN-2013 00:00	-9.750315
01-FEB-2013 00:00	-7.291424
01-MAR-2013 00:00	3.753873
01-APR-2013 00:00	8.771668
01-MAY-2013 00:00	12.75872
01-JUN-2013 00:00	18.08634
01-JUL-2013 00:00	19.85097
01-AUG-2013 00:00	19.96774
01-SEP-2013 00:00	15.19067
01-OCT-2013 00:00	8.842912
01-NOV-2013 00:00	-2.313994
01-DEC-2013 00:00	-8.177738
01-JAN-2014 00:00	-8.922895
01-FEB-2014 00:00	-10.31357
01-MAR-2014 00:00	0.7032256
01-APR-2014 00:00	6.471335
01-MAY-2014 00:00	13.08549
01-JUN-2014 00:00	18.26468
01-JUL-2014 00:00	21.50387
01-AUG-2014 00:00	21.77613
01-SEP-2014 00:00	14.75368
01-OCT-2014 00:00	7.376777
01-NOV-2014 00:00	-2.707511
01-DEC-2014 00:00	-10.17259
01-JAN-2015 00:00	-7.336297
01-FEB-2015 00:00	-5.874117
01-MAR-2015 00:00	0.5564438
01-APR-2015 00:00	8.353325
01-MAY-2015 00:00	15.39355
01-JUN-2015 00:00	19.46833
01-JUL-2015 00:00	24.72258
01-AUG-2015 00:00	21.2379
01-SEP-2015 00:00	12.06916
01-OCT-2015 00:00	6.599991
01-NOV-2015 00:00	0.7166587
01-DEC-2015 00:00	-7.335491
01-JAN-2016 00:00	-9.83549
01-FEB-2016 00:00	-7.215524
01-MAR-2016 00:00	2.418542
01-APR-2016 00:00	9.964162
01-MAY-2016 00:00	12.5637
01-JUN-2016 00:00	20.77249
01-JUL-2016 00:00	22.26532
01-AUG-2016 00:00	21.92822
01-SEP-2016 00:00	19.21666
01-OCT-2016 00:00	4.226611
01-NOV-2016 00:00	-3.915842
01-DEC-2016 00:00	-5.499202
01-JAN-2017 00:00	-9.325012
01-FEB-2017 00:00	-5.571439
01-MAR-2017 00:00	-0.6685612
01-APR-2017 00:00	8.044162
01-MAY-2017 00:00	15.84435
01-JUN-2017 00:00	20.99833
01-JUL-2017 00:00	24.31371
01-AUG-2017 00:00	20.72902
01-SEP-2017 00:00	15.30751
01-OCT-2017 00:00	5.863699
01-NOV-2017 00:00	-0.7100134
01-DEC-2017 00:00	-7.497588
01-JAN-2018 00:00	-12.40565
01-FEB-2018 00:00	-7.529471
01-MAR-2018 00:00	5.145147
01-APR-2018 00:00	8.211657
01-MAY-2018 00:00	12.74032
01-JUN-2018 00:00	20.67582
